job,专业,性格,软件技能,工作内容,品质
海外新媒体运营【YouTube】,"海外新媒体运营【YouTube】
[英语/海外留学经验",热点敏感、有创意,PR、PS、AE、剪映,运营发布内容、制定方案、频道运营、数据分析、海外平台关注,良好的理解能力和表达能力、网络深度用户]
新媒体运营总监,"新媒体运营总监
【无",细致、有创意、沟通能力强,微信公众号、抖音、视频号、淘宝、咸鱼、知乎等新媒体运营工具,日常运营及推广、编辑官网内容、活动策划文案、粉丝互动、用户分析、趋势跟踪,良好的文笔、沟通能力强、具有创意和执行能力】
新媒体文案（历史向）,"新媒体文案（历史向）
[历史知识、中国古代史",文字诙谐、逻辑性、条理通顺,无,配合完成历史频道选题、撰写原创文案、素材收集、视频发布,沟通能力、工作积极热情]
文案编辑,"文案编辑
专业：新闻、传媒、人文相关专业
性格：无
软件技能：熟悉公众号的操作，能够熟练地使用秀米编辑器
工作内容：参与日常稿件的选题规划；负责微信文章的撰稿以及排版；负责海报内容的文字创意，策划对接设计等工作；负责视频脚本的撰写等；负责h5以及各类营销活动的创意策划工作；负责运营账号的数据分析，账号运营等工作
品质：优秀的文字功底和策划能力，逻辑性强",无,无,无,无
新媒体文案专员,"新媒体文案专员
[无",有,无,"""参与游戏向频道的内容制作，负责运营及文案创作，文案风格和标准可参照B站「梦游给姆」。""",良好的文字功底，有网感，有团队意识，责任感强，自驱力充足。]
"资深品牌文案
[新闻、中文、广告、市场营销",思路清晰、敏感度高,Photoshop,负责金融保险互联网平台的品牌文案撰写、深度、专业类文章撰写、文案撰写及线上创意策划、对热点事件等提供策划方案并执行、数字营销规划、分析客户项目需求、制定运营方案和实施策略、玩转各类新媒体、对新闻热点、运营数据等敏感,沟通能力,可驾驭多种风格的文案]
新媒体文案策划,"新媒体文案策划
[中文、传媒、电子商务、市场、营销、广告等相关专业",沟通能力、团队合作能力、逻辑思维能力,Excel,撰写宣传文案、内容选题整理发布、平台内容维护、后台数据统计、学习能力强],无
新媒体文案策划,"新媒体文案策划
[无",无,新媒体运营模式和各类功能操作,编辑、发布、维护和管理新媒体账号；提高自媒体账号的传播量和关注度；负责日常内容发布的选题、内容策划、文案脚本撰写；提高粉丝活跃度，与粉丝互动，收集并分析其他新媒体的运营情况及最新活动信息；定期对运营的新媒体效果进行数据统计和总结,"敏锐、创新、策划能力]
"
新媒体文案专员,"新媒体文案专员
【无",有能力,天猫，小红书,天猫逛逛和小红书文章发布,有能力强】
新媒体文案,"新媒体文案
[中文、广告、策划、新闻、中文系、市场营销等相关专业",优秀的文字表达能力、思路清晰、思维创新、善于分析客户特点、针对客户特性写相应的文案,微信、知乎、百家号、抖视快等新媒体平台文案撰写经验,负责公司品牌传播文案的编写、负责短剧项目宣传文案的编写、负责微信公众号运营、策划并提供优质、高度传播性的文章内容及社群管理、负责新媒体矩阵的内容运营、负责公司营销活动的文案策划、宣传文案编写，并跟进执行传播方案、负责对接媒体、行业自媒体等日常维护,字正腔圆、独立完成各类原创文案、良好的沟通能力、学习能力强、适应能力强、团队精神佳、能承受工作压力]
新媒体文案策划,"新媒体文案策划
[汉语言文学、广告编导、新闻传播专业",社交、网感强,微博、抖音、小红书、AE、PR、PE,短视频脚本撰写拍摄与制作、制定新媒体营销方案、文案内容产出、文案能力、视频制作剪辑工作,了解游戏或对游戏领域感兴趣]
新媒体文案策划,"新媒体文案策划
[无",丰富的电商产品卖点文案输出和策划经验,无,负责品牌线上渠道天猫、C店等的整体页面策划、店铺各类活动策划统筹、产品详情页、主图的策划与编辑、产品管理优化,较高的自我要求、适应电商快节奏的工作环境、抗压能力和稳定性较强]
新媒体文案策划专员,"新媒体文案策划专员
相关专业",无,无,负责公司产品的文案宣传卖点提炼、负责公司活动会议的宣传文案撰写、负责新媒体渠道的宣传文案撰写（小红书，公众号等）、负责对公司商城平台的宣传和撰写,有一定的抗压能力、熟练的文案编辑撰写能力、具备抓取实时热点新闻的敏感度
新媒体文案【女装】,"专业：无
性格：时尚敏锐力、创意、审美、细心、耐心、团队合作精神
软件技能：无
工作内容：负责逛逛、订阅、公众号等新媒体平台内容发布，天猫店铺首页版面画板及按照店铺销量排款，紧扣市场流行点、营销节点等做专辑页等画板，优秀的文案撰写能力，熟悉女装，热爱服装行业
品质：时尚敏锐力、创意、审美、细心、耐心、团队合作精神、超强的执行力、责任感",无,无,无,无
新媒体文案,"无
高中以上学历
新媒体文案或是小红书文案搬运经验者优先
微信视频号内容搬运编辑发布、简单的图片处理、账号运营、项目型内容策划
热爱互联网和新媒体运营，喜欢分享与互动，深谙新媒体平台文化，较强的执行力，独立思考能力，观察力和应变能力",无,无,无,无
新媒体文案策划,"新媒体文案策划
无",积极向上,无,负责新媒体平台文案策划、优化营销文案、策划营销活动方案,热点捕捉能力、营销意识
新媒体文案策划,"新媒体文案策划
[语言学、广告学、市场营销、新闻传播",责任感强,微信公众号、ppt,撰写微信公众号文案、图片创作、视频策划制作、对接合作伙伴、学习行业动态,文字功底、自主创作能力、思维逻辑能力]
新媒体文案（小红书/优资莱）(A197115),"新媒体文案（小红书/优资莱）(A197115)
[无",沟通协调能力强、责任心强,微信公众号、小红书、微博、抖音,日常运营和推广维护，内容策划，用户互动，数据分析，沟通协调,对工作认真负责，沟通协调能力强]
新媒体文案策划,[无,无,无,"负责起源(QIYUAN)品牌新媒体平台文案撰写，通过公众号、小红书、抖音、视频号等新媒体平台传播提升品牌形象，快速积累粉丝并实现转化和变现;制定并执行每月的新媒体文案传播规划、内容策划包括小红书、公众号、抖音、视频号等平台的产品文案创意、活动内容撰写，短视频脚本等文案产出.关注美业、健康类竞品及行业营销动态,探索新媒体商业化方式,实现新媒体端品牌提升和流量变现的功能;监控各平台文案效果，对数据分析与总结后，对文案进行针对性优化",无]
新媒体文案专员,"新媒体文案专员
新闻、传媒、编导、广告等专业优先",活泼开朗、沟通执行力强、有耐心、责任心,掌握小红书等其他新媒体相关平台的基本操作、有自己的审美,负责小红书官方账号的运营、日常内容产出、编辑、发布、维护、管理、互动、提高影响力和关注度,热爱写作，有耐心，能对文字工作保持持续性的喜爱
新媒体编辑,"新媒体编辑
无",自信、热情,无,内容编辑、策划、撰写、采编、监测用户需求,文字驾驭能力、创意、审美能力
文案编辑,"文案编辑
[广告、市场营销、中文等相关专业",市场敏感度,熟悉不同平台的文案风格与要求,文案创作与发布、品牌内容深度策划、热点追踪与创意融合、数据分析与策略优化、跨部门协作,文字功底深厚、创意丰富、团队协作能力]
新媒体运营,"新媒体运营
[中文、新闻传播、市场营销",具有创意思维和用户洞察力,熟悉新媒体平台的运营机制和用户行为,制定新媒体平台的运营策略和内容规,通常要求应聘者具有大专及以上学历、具备出色的文案写作能力、具有创意思维和用户洞察力、熟悉新媒体平台的运营机制和用户行为、具备良好的沟通协调能力和团队合作精神、有新媒体运营相关工作经验者优先]
新媒体文案,"新媒体文案
[无",创新能力、策划能力、敏锐察觉热点的能力,熟悉各类社交平台的属性、负责撰写和发布宣传推广文案、提高自媒体账号的传播量和关注度,熟悉各类新媒体平台的运营特点和规定、具备良好的文字功底和文案策划能力、了解热爱新媒体行业并对文案创作持有浓厚的兴趣和热情、快速适应新媒体行业的变化和发展、挖掘和分析粉丝使用习惯、阅读喜好、积极主动、能承受一定的压力],无
资深品牌文案策划（五险一金 品牌方）,"品牌文案策划（五险一金 品牌方）
[无",有担当精神,多平台内容撰写排版能力、熟悉不同新媒体平台的内容风格及排版要求,负责品牌自媒体宣传平台内容策划、优化页面卖点、完成领导安排的其它工作,有强烈的市场意识、良好的文字功底、丰富的想象力和创造力]
新媒体文案,"新媒体文案
[广告学、中文、新闻学等相关专业优先",活泼幽默、有创意、脑洞大、具有较深厚的文字功底、色彩感觉和一定的图片处理能力,无,负责移动互联网自媒体平台的日常运营及推广工作、负责各平台增加粉丝数、提高关注度和粉丝的活跃度，并及时与粉丝互动、负责撰写有关公司、产品及品牌形象的文案及软文、保证日常PR稿件输出的质与量,喜欢并乐于接受新鲜事物，有极强的工作责任感，爱学习]
新媒体文案专员,"新媒体文案专员
【无",细心、有创意,Photoshop、文案写作,运营和宣传,有创意、责任心强】
新媒体运营,"新媒体运营
[汉语言/新闻/网络与新媒体等相关专业优先",有策划能力、活动执行能力及销售意识,熟练使用ps，ai，视频制作软件为佳,日常运营及推广工作、制定运营计划、策划推广活动、文字编辑、数据分析、素材挖掘、整体风格把控、营销策划优化、社交媒体内容分享、策略调整、任务完成,具备用户思维、快速响应社会、教育行业热点话题、了解教育行业/有留学经验者优先]
新媒体运营专员（小红书文案）,"新媒体运营专员（小红书文案）
[无",有文案功底、视频拍摄剪辑,熟悉小红书平台规则和流程、视频拍摄剪辑,负责新媒体平台笔记封面制作、内容撰写、文案主题策划、视频拍摄剪辑、账号日常运营、内容策划、数据分析、研究行业发展趋势和营销策略,具有文案功底、思维敏捷、网感、数据分析能力、自驱力]
新媒体文案策划专员,"新媒体文案策划专员
无",创意、沟通能力强,熟悉各大短视频平台,撰写短视频文案、配合拍摄手法,创意、沟通能力强
产品经理,无,无,无,无,无
芯片产品经理,"芯片产品经理
[无",无,无,负责车载网关相关芯片产品定义，拉通车厂， tier one和产品开发团队，协调确定芯片规格，软件框架，产品应用，解决方案，PCBA等相关定义和功能；与产品开发团队的核心组一起制定项目具体规格，能够从客户侧理解每一个需求的实际价值，并和SE进行规格拆分和细化；与FAE团队一起深入挖掘客户新需求，能够掌握车厂技术路线和预研技术方向，及时反馈给研发团队进行技术预研。,无]
产品经理-金融硬件-杭州,产品经理,金融硬件,"杭州
[计算机、电子或通信类相关专业",沟通和组织协调能力,办公工具软件
"bi产品经理
[计算机、软件或相关专业专科、3年以上产品工作经验",优秀的沟通、组织能力,原型设计、交互设计能力、文档撰写能力,负责BI数据分析产品的功能设计、客户需求沟通和交付、产品日常运营和布道、竞品研究与对比、产品知识系统化沉淀与输出,需求验收负责、具备数据项目BA、需求分析师经验,具备互联网·大数据行业经验]
产品经理/总监（水表方向）,"产品经理/总监（水表方向）
[无",细致、沟通能力强, Axure, 水务行业和水表产品的规划、设计和实现，市场分析，产品功能设计，营销方案制定，产品生命周期管理，商业模式总结与分析, 能够挖掘用户需求，逻辑思维清晰，对用户体验敏感]
产品经理（办公系统）,"产品经理（办公系统）
[无",沟通合作,项目管理,负责银行员工端产品的设计与产品线规划，深入研究金融服务场景，将金融场景需求、用户需求，有机融入产品，探索场景定制化的实际应用，协同合作团队，全流程多方位跟进产品的设计、开发、运营共同达成目标，持续跟进产品的应用与体验，持续改进优化产品,商业敏感度高，富有创新精神，善于沟通合作，内驱、激情、乐观，抗压性强]
产品经理,"产品经理
[计算机相关专业",沟通能力强，逻辑思维能力强,汽车售后维修仓储管理系统,需求分析，产品功能设计，原型设计，文档撰写，跟进研发和测试阶段，数据收集与分析，培训，提供市场/行业分析、数据分析，参与讨论会，提升产品满意度、客户付费率，竞品追踪，组织头脑风暴,市场分析能力，数据分析能力，沟通协调能力，创新能力，团队合作能力]
产品经理,"产品经理
[计算机相关专业",目标感强、抗压能力强、富有团队意识、全局意识、擅长敏捷思维,产品设计工具、产品设计规划能力、项目管理知识,产品需求收集整理，PRD编写和产品原型绘制，产品生命周期管理，软件项目端到端管理和交付，团队组织协调，制定项目管理制度和流程,良好的文书和产品设计动手能力，强沟通、组织、协调、团队亲和能力]
产品经理,"产品经理
[无",创新思维、沟通能力、团队协作能力,无,敏锐洞察、学习能力、责任心、自我驱动力],无
产品经理 (MJ005656),"产品经理 (MJ005656)
[财税、计算机相关专业优先",工作细致认真、积极主动、擅长沟通、学习能力强、有责任心,办公软件、ppt、excel、axure、visio,协助产品的产品价值包装、跟进客户需求反馈、挖掘新价值点、推进排期上线、梳理客户常见问题、赋能销售赢单、完成客户业务细分客群的沟通调研及客户画像推演、价值挖掘及传递、产品价值清单、操作手册及升级说明更新、日常产品数据分析、人资行业领域竞品分析、关注行业及友商动态、不断迭代和完善产品功能、提升产品核心竞争力、配合与销售、市场、产研多方团队高效协同、完成产品运营推广及定期信息互通,工作细致认真、积极主动、擅长沟通、学习能力强、有责任心]
产品经理,"产品经理
无
敏锐、学习能力强、逻辑思维能力、沟通能力、表达能力
无
产品规划、项目执行、用户需求分析、协调推进产品迭代、对接运营和推广需求
具有市场洞察力、学习能力强、逻辑思维能力、沟通能力、表达能力",无,无,无,无
产品经理,"产品经理
[无",细致、逻辑思维,市场调研分析软件,市场规模调研、需求调研、竞品调研、协调资源落地竞争力策略,英语读写能力、洞察力]
商品成长产品经理,"商品成长产品经理
[无",沟通表达能力、逻辑分析能力," Axure, xmind ",对电商品类运营进行相关产品设计，商家侧产品设计经验，制定商品成长路径，设计有效的商家激励和任务机制,系统抽象能力、数据洞察能力、良好的数据分析能力]
产品经理,"产品经理
[无",沟通能力强，独立自主，执行力强,无,挖掘客户需求，独立完成产品设计，协助项目交互，挖掘新客户，维护潜在客户,具备物联网思维，有较强的业务理解能力，良好的内外部沟通协调能力，商务礼仪]
产品经理,"产品经理
[无",用户导向，逻辑清晰、善于沟通，富有创新精神和商业敏感性,社交软件,负责项目前期调研及需求分析工作，深入了解市场，搜集行业动态和相关政策信息；深度挖掘用户需求，根据公司产品战略独立完成产品规划、产品需求文档；编制市场规划、方案设计报告和实施方案报告；根据客户需求，对产品成本进行评估和控制；与客户保持良好沟通，全程把握客户需求；全程对项目需求分析、设计、开发和测试进行指导和监控，确保按时交付项目；不定期收集市场销售信息、新技术产品开发信息，分析及跟踪竞争对手，吸取行业发展优点并融入到产品中去；负责公司现有项目产品的完善和开发等工作,较强的用户需求判断、引导、控制能力，思维敏捷，具有较强的表达能力]
推荐策略产品经理,"推荐策略产品经理
[无",自驱和团队协同能力强、活泼开放有热情,推荐算法知识、数据分析能力,内容全链路流程优化和策略设计、联动团队制定和优化分发策略、构建内容池和挖掘内容消费场景、设计不同的分发样式和展现形态,具有跨团队沟通和推进业务的能力、有探索欲和好奇心、用户第一的意识]
产品经理（茶叶）,"产品经理（茶叶）
[无",无,无,赋能业务、竞品分析、新品开发、产品策略、销售数据分析,逻辑思维和判断力、对茶行业有深入了解、竞品厂家产品经理经验、调饮能力]
产品经理（咖啡行业）,"产品经理（咖啡行业）
[无",责任心强、团队合作精神、沟通能力、执行能力,无,制定产品策略、跟进产品开发、研究市场动向、持续研究消费者需求、开发工厂资源、挖掘工厂新品配方,好奇心、学习能力、高效率、对咖啡行业理解]
产品经理,"产品经理
[无",创新意识、自我驱动力强、团队合作意识,数据分析、用户研究,负责产品定义与规划、协调推动公司资源、制定产品目标、发现创新机会、制定产品规范与策略,接受新事物能力、快速学习能力、数据意识强、执行力坚定]
服务器产品经理,"服务器产品经理
[无",沟通能力、分析能力,无,产品规划与战略、产品开发与管理、产品营销与推广,创新能力、项目管理能力、市场营销能力、团队合作能力]
产品经理（医疗软件）,"产品经理（医疗软件）
[计算机、医疗等相关专业",沟通表达能力、文案撰写能力, Microsoft、Axure、Sketch、Figma等办公及需求分析设计工具,需求调研、产品设计、竞品分析、业务功能流程设计、产品开发跟踪、产品运营、市场推广、用户体验优化,业务理解、业务分析、需求把控能力、数据决策意识、问题解决、团队合作、沟通协调能力]
产品经理,"产品经理
[机电或相关类",沟通谈判能力,无,依据公司品牌定位及市场需求提出产品开发建议; 匹配合适的供应商资源，并联系沟通; 完成备选供应商及备选产品信息收集整理; 完成产品选样、送样检测、协调供应商整改等工作; 进度跟进，发现问题及时协调解决; 新产品的成本核算，科学判断供应商报价的合理性，并在批量生产许可后发起新产品价格审批流程，以及后续价格调整确认审批等工作; 协助跟单部做好订单进度跟踪等，直至产品合格交付,用户体验思维，团队管理经验者优先]
产品经理（美妆品牌方）,"产品经理（美妆品牌方）
[化妆品、化学、生物",具备分析问题及解决问题的能力,无,负责公司品牌新产品开发、上市、产品的优化迭代（成分和包装）、产品结构规划，产品提案及后续产品开发流程跟踪；收集市场竞品信息及相关数据，尤其是社交电商、直播电商，洞悉国内外高端护肤品市场以及消费者需求，善于归纳市场动向及品牌新品机会，提供定期的产品报告；分析行业和竞品的市场动态、产品结构、产品／规格布局、价格体系等，通过不断体验公司产品和竞品，发现市场机会，并定期提出产品优化、创新等建议方案；进行产品项目进度管理，按照公司项目开发流程跟进，协调其他模块进行具体产品开发，掌握产品的备案流程进展，保障产品符合品牌标准及公司成品检验标准后顺利上市；进行产品生命周期追踪，整理输出产品报告，就产品表现优劣势进行及问题进行分析，并提出改善意见，进行产品优化；协调各部门紧密沟通合作，和运营一起打造爆品，产品培训、产品上市后跟踪。产品的优化（包装优化、功能升级、成本优化），提升现有产品市场竞争力；负责整合新品上市的营销计划建议，以创造高整合性、参与度以及持续度的顾客体验；负责整个产品部门的管理与业务规划,在工作中发现机会点，给出解决方案或者管控现有状态
产品经理,"产品经理
[计算机相关专业",主动积极、有责任心、抗压能力强、组织协调、人际沟通、团队协作,Word、Excel、PPT、Visio、Axure,负责银行存贷款等核心业务、柜面业务、支付结算和中间业务系统的规划、驱动技术和业务的融合、挖掘和捕捉用户需求、产品原型设计及PRD编写、输出讲解产品设计、产品研发进度跟进、用户调研与竞品分析,快速学习、创新思路和方法、文字功底]
产品经理/嵌入式产品,"产品经理/嵌入式产品
[无",无,无,产品上市前行业分析、客户需求挖掘、市场调研及竞品分析；产品定义、路标规划和生命周期管理；产品需求变更管理；产品上市管理；产品营销支持管理，销售工具包管理、样板点建设等,无]
产品经理实习生,"产品经理实习生
[计算机相关专业",热情、有责任心、上进心、做事认真负责、思维逻辑清晰、能吃苦能抗压,Office办公软件,协助产品经理完成产品竞品分析、协助产品经理完成产品经营分析、与产品经理紧密互助、协同处理文档工作、协助产品经理完成产品推广、宣传、协助跟踪产品生命周期任务跟踪,无]
相机产品经理,"相机产品经理
[无",用户思维和产品逻辑思维，责任心强，具有优秀的沟通协调能力和执行力,无,主导相机软硬件产品的策划、开发、营销等全生命周期的管理；制定产品策略与规划；主导撰写产品需求书，推动产品立项和开发；主导产品的发布推广，协同市场部门制定相关营销、销售活动,具有用户思维和产品逻辑思维，对市场发展趋势有敏锐的洞察力和创新意识]
产品经理（潮玩）,"产品经理（潮玩）
【市场营销、市场策划、产品设计",逻辑严谨、具有创新思维、沟通能力强,项目管理软件、办公软件,负责产品选品规划、市场及竞品分析、新品开发及上市、编制产品开发费用预算、控制产品生产成本,热爱潮流玩具产品，对潮流玩具有一定了解，团队合作意识强】
产品经理,"产品经理
[护具、医疗器械类产品",注重细节、高主动性,无,产品企划、产品开发、产品上线、产品维护、产品生命周期管理,为人正直、工作方法灵活]
产品经理,"产品经理
[计算机、自动化、电子、通讯、嵌入式相关专业本科或以上学历",思维活跃、开放、良好的团队精神、逻辑分析能力强,Visio、Powerpoint、AxureRP、思维导图软件,跟踪车联网的市场创新动态，完成技术提案，管理产品需求，对产品设计向车型导入及产品最终按规划落地负责,沟通和学习能力，逻辑思维能力，团队精神，承担工作压力]
影像产品经理,"影像产品经理
医学图像处理算法、临床数据
逻辑思维能力、团队沟通合作能力、解决问题能力
需求分析方法、产品管理方法、产品设计相关工具
"," 结合临床具体需求，研发相应软件产品
"," 负责医学图像处理算法的实现与验证
"," 整理分析结果，攥写相关技术文档
具备较强的逻辑思维能力、团队沟通合作能力、解决问题能力，熟悉使用产品设计相关工具",无
产品经理,"产品经理
[无",自我驱动,无,产品全过程管理、用户需求收集、市场分析、产品功能设计、团队协调、市场表现监控、评估分析报告输出,儿童3c产品相关经验、智能物联网市场理解、自我驱动强]
"产品经理
[生物学、医学、食品卫生与营养学",无,无,对女性健康市场进行深入研究，包含生殖健康、‌营养健康、心理健康等领域；选取目标细分市场确定产品定位，根据市场需求制定产品路线图，定义产品的功能特性、用户体验和价值主张；完成女性口服保健、美容、私护等品类开发；负责产品生命周期内的产品迭代、定位更新等工作，推进女性健康领域产品及服务的创新与落地；协同市场和营销团队进行产品培训、市场定位和定价策略的指导,具备3年及以上女性健康研究及相关大健康产品开发经验，有女性保健/私护类产品落地案例，独立负责过不低于3个产品的开发经验,无]
产品经理,"产品经理
[本科及以上学历",责任心和自我驱动力、优秀的团队合作精神,Office软件，尤其是Excel和PowerPoint、Axure、思维导图,市场调研、产品规划、项目管理、文档编写、用户反馈、跨部门协作,专业知识、分析能力、沟通协调、学习能力、创新思维]
产品经理,"产品经理
[通信、计算机、电子信息、自动控制等相关专业本科及以上学历",具备较强的市场洞察力和分析、策划能力，具备较强的沟通交流能力，具有一定的行业/客户影响力,无,负责通信产品定义与产品规划；负责通信产品需求的挖掘、分析、管理，制定产品路线图；负责通信产品市场调研、产品竞争分析；负责通信产品需求文件编制，参与产品总体方案设计与产品原型设计；协同通信产品开发团队，推进产品开发、发布、维护及市场合作等，参与市场推广,"产品市场分析、行业分析，提出产品完善和提高的方案；具备产品原型设计、技术方案编制能力，具有良好的沟通能力、组织协调能力]
"
产品经理,"产品经理
[无",创新能力、沟通能力,无,分析行业动态、产品规划、市场推广,创新能力、沟通能力]
产品经理,"产品经理
无",具备出色的产品规划能力、良好的跨部门沟通协调能力、对产品质量有极高的追求,无,负责B端产品的策略制定与执行，深入理解用户需求，设计并优化用户体验，与团队紧密合作确保产品按照既定路线图顺利推进并实现目标,创新能力、跨部门沟通能力、问题解决能力
产品经理（商品管理系统）,"产品经理（商品管理系统）
[无",沟通协调能力,ERP\SCM、产品交互设计、功能逻辑设计流程,需求调研、产品规划、用户反馈研究、产品升级改造、产品推广和落地工作,商业敏感度]
产品经理,"产品经理
【工业设计、人体工学等相关专业",市场洞察力、沟通协调能力,无,制定产品规划和发展战略、洞察用户需求、产品生命周期管理、需求迭代,产品逻辑思维、产品开发能力】
产品经理,"产品经理
[无",开放、友善、有主见、目标导向,Office、Axure,负责公司产品规划和潜在需求挖掘、制定产品迭代计划、把控产品进度及质量、持续进行产品优化、负责产品的需求分析、规划和设计、编写产品需求规格说明书、协调、确保研发和测试完全理解需求、收集并分析产品运行数据、行业竞品信息,团队意识强、良好的沟通技巧、协调能力、数据分析、提炼、撰写报告能力]
产品经理,"产品经理
[无",逻辑思维清晰缜密，执行力强，沟通协调能力强,产品工具，产品交互设计,完成产品规划和迭代，市场业务调研和用户需求分析，协调团队推动产品开发，生命周期管理，竞品分析，用户走访，部门沟通，数据思维,责任心，团队合作精神，owner精神]
产品经理/项目经理,无,无,无,无,无
"资深产品经理
[无",无,Axure RP、Xmind,产品需求调研，需求分析，进行产品原型设计与需求文档的撰写，推动需求立项，组织技术部门召开产品需求会，协助项目经理制定项目进度，跟进项目节点验收工作，支持售前部门工作，包括可研报告功能部分撰写，客户拜访过程中的产品宣讲，需求点沟通记录，产品交付后，负责对客户进行产品培训以及使用体验追踪，市场竞品调研，定期参与部门内产品分享,对数据科学有一定的认识，了解机器学习算法，熟悉建模工作全流程，熟悉隐私计算技术，准确理解MPC、联邦学习、匿踪查询等技术的大致原理，对技术团队各岗位的工作有深刻的了解，有能力依据需求预估工作量，并参与项目排期，有toB、toG类解决方案或产品规划、设计经验优先，熟悉2B2G类项目流程，有能力协助市场部门把控项目节奏,无]
产品经理,"C端
[无",目标感强,无,负责会员与积分相关产品规划和功能设计；负责酒店集团会员权益、积分、会员价在C端各场景的表达与体验；负责酒店集团会员/积分营销活动及入驻相关工作；协调跨部门合作沟通，负责从需求调研到上线全流程，确保项目进度和效果,同理心强、自驱力、工作积极主动、具备良好的团队合作精神，善于协同]
产品经理（乳制品）,"产品经理（乳制品）
[食品科学、市场营销、统计学",分析能力、市场洞察力,无,制定产品规划、推动产品战略、管理新品上市全过程,良好的全局视野、跨部门沟通协调能力]
"产品经理
[计算机相关专业",敏锐、市场敏锐,无,负责青塔目前高等教育全生态链的数据云产品线中1到2个产品的发展规划及推动、深入挖掘客户需求，对产品进行持续的优化及改进，对潜在的需求给出产品化建议、协调资源，跟进产品项目从需求、设计、开发、测试、发布和运营的整个过程、对接开发及运营部门，撰写产品说明书，并不断提高平台产品适用性,重点本科及以上学历、计算机相关专业、有1,3年左右产品经理的工作经验、掌握产品设计基本方法论、优秀的市场及产品敏锐度、对互联网行业有较深的认知、对高等教育有了解，或者有志于从事高等教育类行业]
产品经理（杭州）,"产品经理（骑行项目产品开发）
[工业设计、化工专业背景优先",逻辑思维能力、团队管理能力、抗压力强、适应出差,无,组织市场调研、分析竞品和市场流行趋势、确定产品定位和年度发展目标及策略、组织进行产品规划、组织设计师和研开发人员完成产品设计和研开发任务、开发并优化供应链、维护供应商关系、团队管理及考核、关注和分析竞争对手和行业发展态势、结合业务发展趋势适时调整发展,三年以上同岗位工作经验]
仪器仪表产品经理,"仪器仪表产品经理
[环境、化学、电子、光学、测控仪器仪表等理工科专业",良好的沟通交流能力和意识，能承担工作压力，具备团队协作及质量意识,无,市场及用户需求调研、竞品分析、产品规划工作，负责产品需求分析，需求定义，产品定义文档（PRD）等文档编写，负责产品设计（交互设计），市场需求调文档（MRD）和产品需求文档（PRD）等技术文档的编写，产品开发的过程跟踪，跨部门沟通协调，产品生命周期等管理工作，产品需求、问题及建议的收集汇总等工作,良好的沟通交流能力和意识，能承担工作压力，具备团队协作及质量意识，有产品意识，善于沟通与分享，能激发团队整体技术水平的不断提高]
医药产品经理,"医药产品经理
[市场营销或中药相关专业",细致、逻辑性强,无,制定营销计划、产品定位、促销方案,分析能力、创意思维]
产品经理,"产品经理
[计算机、财务、金融或信息化相关专业",换位思考能力、沟通执行能力强、学习能力、组织协调能力、方案编写能力,Visio、Axure、PPT,负责公司特定产品的规划和业务设计、产品的原型设计、撰写产品相关文档、沟通团队、产品测试用例规范和内部测试验收、产品迭代,敏锐的市场触觉、产品规划能力、创新意识、追求极致的用户体验]
产品经理,"产品经理
[无", 逻辑能力、推动项目落地的经验, CRM产品、微信生态, 私域运营产品化落地、SCRM相关产品的模型梳理与设计、参与项目目标与策略制定、AI在销售体系的应用探索和落地、发现数字化机会为业务赋能, 逻辑能力、市场敏感、数据敏感、商业敏感]
产品经理,"产品经理
[电子、计算机、自动化、机械等相关专业",沟通能力,无,产品研究、产品开发、产品设计、产品测试、产品跟踪优化,数据分析能力、逻辑思维、执行力]
产品经理(J10417),"产品经理(J10417)
[计算机、通信、电子工程等相关专业背景",敏感度、自驱能力、团队协作精神,云计算、智能家居、安防行业产品管理经验,需求收集、产品策划、产品生命周期管理、产品规划路线图制定,持续迭代能力、工作热情、认真负责]
产品经理,"产品经理
[无",适应性强、具有良好的沟通能力和跨部门协作能力,熟练使用产品管理工具（如 Jira、Trello、Confluence 等）进行需求管理和项目跟踪,产品规划与战略制定、需求分析与产品设计、项目管理与跨部门协调、产品上线与优化、市场调研与竞争分析、用户增长与留存,用户导向思维、良好的沟通能力和跨部门协作能力、对技术和业务有深刻理解]
"产品经理
[无",细心、逻辑思维,项目管理、产品规划,市场调研、产品全生命周期管理、商业模式管理、团队指导,熟悉产品开发流程、熟悉IPD产品集成开发流程,本科及以上学历、3年以上产品规划、管理经验、熟悉软件开发流程、齿科或口腔、3D打印工作经验]
产品经理,"产品经理
[无",无,无,负责公司产品开发计划；协调研发、运营和销售部门；产品手册的撰写；向服务部门提供培训辅导,有出色的业务战略眼光，产品规划及设计能力；有过成功互联网产品开发的经历；能承受巨大的工作压力，有超强的自我驱动能力]
产品经理,"产品经理
[城乡规划、地理信息科学、土地资源管理、计算机科学与技术等相关专业",具有产品思维、数据与统计思维,熟练使用相关产品设计工具,项目需求的调研、分析，系统原型设计以及设计方案的编写和汇报；对照项目需求和原型设计，与研发人员对接，管控项目级的系统开发实现；配合总部产品研发中心管理产品需求，归集项目定制需求，实现公司级产品需求的提炼与产品规划；协助事业部总监开展相关产品的售前工作、解决方案宣讲,较好的沟通能力、项目管理能力]
